desc,jaccard,rbo,kendall_tau
HawkesRanker L=138 p=0.5 beta=5.813432472490148e-08,0.3788516846858443,0.40125172209566623,0.4005856006090026
HawkesRanker L=139 p=0.01 beta=3.8345741623268817e-07,0.39620015733438435,0.4104490113992793,0.411749707586544
HawkesRanker L=139 p=0.1 beta=1.9172870811634409e-07,0.39823392300872135,0.4119383985622334,0.41490972524261116
HawkesRanker L=139 p=0.5 beta=5.771609217292377e-08,0.37873053375197246,0.40080233547836536,0.40017034066405976
HawkesRanker L=14 p=0.01 beta=3.8071843468816896e-06,0.3441237613366134,0.3737390451323665,0.3685579413139133
HawkesRanker L=14 p=0.1 beta=1.9035921734408448e-06,0.3653787028260825,0.3868523301067021,0.3872306724356022
HawkesRanker L=14 p=0.5 beta=5.730383437168859e-07,0.39649854532498535,0.4106172493067498,0.4148299710380119
HawkesRanker L=140 p=0.01 beta=3.80718434688169e-07,0.3965201438465663,0.41040220840639796,0.41050251872524235
HawkesRanker L=140 p=0.1 beta=1.903592173440845e-07,0.39776278048810887,0.4120042491272758,0.41635442251918
HawkesRanker L=140 p=0.5 beta=5.73038343716886e-08,0.37873053375197246,0.40065785779172486,0.3996461078958236
HawkesRanker L=141 p=0.01 beta=3.7801830394569966e-07,0.39638247233080287,0.4104510888739587,0.4105249911174957
HawkesRanker L=141 p=0.1 beta=1.8900915197284983e-07,0.3977925504825432,0.41187731849166187,0.41664204716304515
HawkesRanker L=141 p=0.5 beta=5.6897424198839746e-08,0.37880920978159427,0.4007123616047139,0.40011681505249036
HawkesRanker L=142 p=0.01 beta=3.753562032136877e-07,0.39667643759634597,0.4102858110281096,0.41000296923300444
HawkesRanker L=142 p=0.1 beta=1.8767810160684385e-07,0.3979244095510163,0.41166520269583157,0.4158096726196213
HawkesRanker L=142 p=0.5 beta=5.6496738112932423e-08,0.37858269895437674,0.4005253910255157,0.4003408605901732
HawkesRanker L=143 p=0.01 beta=3.7273133465974586e-07,0.3973875138613944,0.41032610299609823,0.4093426182642205
HawkesRanker L=143 p=0.1 beta=1.8636566732987293e-07,0.397527460517564,0.41156940154037,0.41631742114496845
HawkesRanker L=143 p=0.5 beta=5.6101656028226597e-08,0.37835772868216416,0.40040804703590716,0.39992070624659215
HawkesRanker L=144 p=0.01 beta=3.701429226134976e-07,0.39784862622040523,0.4104805404698788,0.4098608886522312
HawkesRanker L=144 p=0.1 beta=1.850714613067488e-07,0.39780740257581304,0.4115551962371503,0.4151609334215803
HawkesRanker L=144 p=0.5 beta=5.5712061194697245e-08,0.37830556709382995,0.40041153992655126,0.3997344442449885
HawkesRanker L=145 p=0.01 beta=3.6759021280237e-07,0.39798294316707106,0.4104072507337471,0.40920059562948863
HawkesRanker L=145 p=0.1 beta=1.83795106401185e-07,0.3974413330352806,0.41210406980742154,0.417443121149179
HawkesRanker L=145 p=0.5 beta=5.532784008300968e-08,0.37866198335130635,0.40041370657429914,0.39968820208493716
HawkesRanker L=146 p=0.01 beta=3.650724716187922e-07,0.39806992332472263,0.4105370685311663,0.4095813790021405
HawkesRanker L=146 p=0.1 beta=1.825362358093961e-07,0.3976107264099608,0.41187706711089017,0.41743464145460757
HawkesRanker L=146 p=0.5 beta=5.494888227422195e-08,0.37866198335130635,0.40044566122553366,0.3997752346349674
HawkesRanker L=147 p=0.01 beta=3.625889854173038e-07,0.39761339829891146,0.4107207771879318,0.4087165214643252
HawkesRanker L=147 p=0.1 beta=1.812944927086519e-07,0.3974233401801718,0.4120372041118588,0.41953781112898136
HawkesRanker L=147 p=0.5 beta=5.457508035398914e-08,0.37866198335130635,0.40033033360655484,0.3996357275930482
HawkesRanker L=148 p=0.01 beta=3.601390598401598e-07,0.39792416445895257,0.4108471930824087,0.40858839262576374
HawkesRanker L=148 p=0.1 beta=1.800695299200799e-07,0.3976179037293213,0.41209520868823935,0.4198513862607762
HawkesRanker L=148 p=0.5 beta=5.420632981105678e-08,0.37866198335130635,0.400395149630583,0.39983336939660635
HawkesRanker L=149 p=0.01 beta=3.5772201917009165e-07,0.39822059819370254,0.4117886723962766,0.4113273820621763
HawkesRanker L=149 p=0.1 beta=1.7886100958504582e-07,0.39784925413878364,0.4117875606683164,0.41913707639699976
