,L,mu_t,mu_c,theta,forget_func,jaccard_sim,rbo
8652,90.0,0.25857142857142856,0.38685714285714284,0.05644444444444444,exp,0.34302225248614965,0.3489724977044788
8653,90.0,0.25857142857142856,0.38685714285714284,0.11188888888888888,exp,0.3465787713150632,0.3505355983475645
8654,90.0,0.25857142857142856,0.38685714285714284,0.16733333333333333,exp,0.348845244534649,0.3517185501348956
8655,90.0,0.25857142857142856,0.38685714285714284,0.22277777777777777,exp,0.3505991820998603,0.3540989099778096
8656,90.0,0.25857142857142856,0.45099999999999996,0.001,exp,0.32855757254270673,0.3368049750251492
8657,90.0,0.25857142857142856,0.45099999999999996,0.05644444444444444,exp,0.3397410012592677,0.3460114511000627
8658,90.0,0.25857142857142856,0.45099999999999996,0.11188888888888888,exp,0.34158581233805435,0.34719758810631557
8659,90.0,0.25857142857142856,0.45099999999999996,0.16733333333333333,exp,0.34436898532175686,0.34862447669429947
8660,90.0,0.25857142857142856,0.45099999999999996,0.22277777777777777,exp,0.3477095131285488,0.3494044872258806
8661,90.0,0.25857142857142856,0.5151428571428571,0.001,exp,0.3234325545508328,0.3301151290058608
8662,90.0,0.25857142857142856,0.5151428571428571,0.05644444444444444,exp,0.33560362214313827,0.3396978900993429
8663,90.0,0.25857142857142856,0.5151428571428571,0.11188888888888888,exp,0.3376637639004688,0.3416877027578183
8664,90.0,0.25857142857142856,0.5151428571428571,0.16733333333333333,exp,0.3391412060322214,0.3427497951985809
8665,90.0,0.25857142857142856,0.5151428571428571,0.22277777777777777,exp,0.3417817063102927,0.3443103147604198
8666,90.0,0.25857142857142856,0.5792857142857143,0.001,exp,0.3203186314468426,0.32656462959655563
8667,90.0,0.25857142857142856,0.5792857142857143,0.05644444444444444,exp,0.33111240198717956,0.3355099408092784
8668,90.0,0.25857142857142856,0.5792857142857143,0.11188888888888888,exp,0.33287378701202286,0.3365093793858668
8669,90.0,0.25857142857142856,0.5792857142857143,0.16733333333333333,exp,0.3353275453293747,0.3378339895991198
8670,90.0,0.25857142857142856,0.5792857142857143,0.22277777777777777,exp,0.3359855196257549,0.3389787739622764
8671,90.0,0.25857142857142856,0.6434285714285715,0.001,exp,0.31566451300977494,0.3235004294245136
8672,90.0,0.25857142857142856,0.6434285714285715,0.05644444444444444,exp,0.32509089188964796,0.33118925043839587
8673,90.0,0.25857142857142856,0.6434285714285715,0.11188888888888888,exp,0.3279081419822668,0.33307021505156925
8674,90.0,0.25857142857142856,0.6434285714285715,0.16733333333333333,exp,0.3295953087637954,0.3343023983065565
8675,90.0,0.25857142857142856,0.6434285714285715,0.22277777777777777,exp,0.33034200781955175,0.33505693893343397
8676,90.0,0.25857142857142856,0.7075714285714285,0.001,exp,0.3124272034163549,0.319219287704587
8677,90.0,0.25857142857142856,0.7075714285714285,0.05644444444444444,exp,0.32088417695943366,0.32739713936613085
8678,90.0,0.25857142857142856,0.7075714285714285,0.11188888888888888,exp,0.3230856636717768,0.32914802315235936
8679,90.0,0.25857142857142856,0.7075714285714285,0.16733333333333333,exp,0.3239128948468304,0.3297625172102291
8680,90.0,0.25857142857142856,0.7075714285714285,0.22277777777777777,exp,0.3251433552724895,0.33037851973877835
8681,90.0,0.25857142857142856,0.7717142857142857,0.001,exp,0.3107298705624858,0.3173665273719024
8682,90.0,0.25857142857142856,0.7717142857142857,0.05644444444444444,exp,0.3178432675828778,0.32421352106582085
8683,90.0,0.25857142857142856,0.7717142857142857,0.11188888888888888,exp,0.3207946868444204,0.3265018081731959
8684,90.0,0.25857142857142856,0.7717142857142857,0.16733333333333333,exp,0.3219846684876436,0.32708851011119827
8685,90.0,0.25857142857142856,0.7717142857142857,0.22277777777777777,exp,0.3240943531442456,0.32753516151806344
8686,90.0,0.25857142857142856,0.8358571428571429,0.001,exp,0.30951876334853656,0.3147131136309648
8687,90.0,0.25857142857142856,0.8358571428571429,0.05644444444444444,exp,0.3139985352246076,0.3188050067251729
8688,90.0,0.25857142857142856,0.8358571428571429,0.11188888888888888,exp,0.3167216401415108,0.3221740692914999
8689,90.0,0.25857142857142856,0.8358571428571429,0.16733333333333333,exp,0.3191953417008482,0.32319549937606856
8690,90.0,0.25857142857142856,0.8358571428571429,0.22277777777777777,exp,0.3194182912791022,0.3239981461208064
8691,90.0,0.25857142857142856,0.9,0.001,exp,0.3081623726245278,0.31168727795716356
8692,90.0,0.25857142857142856,0.9,0.05644444444444444,exp,0.31108676145684766,0.3150750450887225
8693,90.0,0.25857142857142856,0.9,0.11188888888888888,exp,0.3119201078600709,0.31557539655084876
8694,90.0,0.25857142857142856,0.9,0.16733333333333333,exp,0.3139308225887702,0.3174781265709486
8695,90.0,0.25857142857142856,0.9,0.22277777777777777,exp,0.31649327390191334,0.31991248403441064
8696,90.0,0.32271428571428573,0.002,0.001,exp,0.21986336694071218,0.2745319708588751
8697,90.0,0.32271428571428573,0.06614285714285714,0.001,exp,0.34805390866586855,0.3648530136391092
8698,90.0,0.32271428571428573,0.06614285714285714,0.05644444444444444,exp,0.3738650858736555,0.38018786690305884
8699,90.0,0.32271428571428573,0.13028571428571428,0.001,exp,0.3488620824127061,0.3599090551834381
8700,90.0,0.32271428571428573,0.13028571428571428,0.05644444444444444,exp,0.37408217446360637,0.37607620782846535
8701,90.0,0.32271428571428573,0.13028571428571428,0.11188888888888888,exp,0.37950489212541655,0.3805323694263576
8702,90.0,0.32271428571428573,0.19442857142857142,0.001,exp,0.34267052405804077,0.3557936632557439
8703,90.0,0.32271428571428573,0.19442857142857142,0.05644444444444444,exp,0.36115126545826026,0.36637925592695453
8704,90.0,0.32271428571428573,0.19442857142857142,0.11188888888888888,exp,0.36689258194664154,0.3700340530257851
