,L,mu,theta,forget_func,jaccard_sim,rbo,kendall_tau
176,1.0,0.08620828,0.0666666667,exp,0.30434782608695654,0.3519849396635111,0.5121951219512195
177,1.0,0.08620828,0.06872881,exp,0.3333333333333333,0.35557796903950745,0.5094339622641509
178,1.0,0.08620828,0.07586448,exp,0.3333333333333333,0.3678579555365269,0.5454545454545454
179,1.0,0.08620828,0.07931241,exp,0.36,0.37705013240727525,0.5384615384615384
180,1.0,0.08620828,0.08276034,exp,0.38461538461538464,0.39583333333333326,0.5555555555555556
181,1.0,0.08620828,0.08566102,exp,0.4117647058823529,0.41161484979666796,0.5625
182,1.0,0.08657627,0.0001,exp,0.16129032258064516,0.25720989658489657,0.3684210526315789
183,1.0,0.08657627,0.001,exp,0.16666666666666666,0.2650297619047619,0.38461538461538464
184,1.0,0.08657627,0.01035379,exp,0.17647058823529413,0.27397691594120166,0.4074074074074074
185,1.0,0.08657627,0.01380172,exp,0.1875,0.2765738414635473,0.4117647058823529
186,1.0,0.08657627,0.01724966,exp,0.2,0.283357266532007,0.42857142857142855
187,1.0,0.08657627,0.0179322,exp,0.2,0.2845982142857143,0.4358974358974359
188,1.0,0.08657627,0.02069759,exp,0.2,0.2815015962507311,0.44
189,1.0,0.08657627,0.02414552,exp,0.2,0.2863668430335097,0.4444444444444444
190,1.0,0.08657627,0.02759345,exp,0.2,0.29198644394105605,0.45
191,1.0,0.08657627,0.03104138,exp,0.2,0.2960632316401547,0.4482758620689655
192,1.0,0.08657627,0.0333333333,exp,0.2132034632034632,0.2964732142857143,0.45
193,1.0,0.08657627,0.03448931,exp,0.21583850931677018,0.2995067469908877,0.45454545454545453
194,1.0,0.08657627,0.03486441,exp,0.21739130434782608,0.30119588353646676,0.45454545454545453
195,1.0,0.08657627,0.03793724,exp,0.21739130434782608,0.3034441484441484,0.45454545454545453
196,1.0,0.08657627,0.04138517,exp,0.23076923076923078,0.3062606507249364,0.4782608695652174
197,1.0,0.08657627,0.05179661,exp,0.25,0.32291881017842555,0.49019607843137253
198,1.0,0.08657627,0.0666666667,exp,0.3021739130434783,0.3532106892225939,0.5121951219512195
199,1.0,0.08657627,0.06872881,exp,0.3333333333333333,0.35310889170101967,0.5172413793103449
200,1.0,0.08657627,0.07586448,exp,0.3333333333333333,0.36047032140704904,0.543859649122807
201,1.0,0.08657627,0.07931241,exp,0.36,0.3757070111741392,0.5454545454545454
202,1.0,0.08657627,0.08276034,exp,0.3793103448275862,0.3909835600907029,0.5555555555555556
203,1.0,0.08657627,0.08566102,exp,0.4117647058823529,0.41161484979666796,0.5625
204,1.0,0.08657627,0.08620828,exp,0.4166666666666667,0.4133333333333333,0.5636363636363636
205,1.0,0.08965621,0.0001,exp,0.16129032258064516,0.25720989658489657,0.3684210526315789
206,1.0,0.08965621,0.001,exp,0.16666666666666666,0.2650297619047619,0.38181818181818183
207,1.0,0.08965621,0.01035379,exp,0.17647058823529413,0.27202149864089636,0.4074074074074074
208,1.0,0.08965621,0.01380172,exp,0.1863425925925926,0.27719005531505525,0.4074074074074074
209,1.0,0.08965621,0.01724966,exp,0.2,0.27777777777777773,0.42857142857142855
210,1.0,0.08965621,0.0179322,exp,0.2,0.2799842506589911,0.42857142857142855
211,1.0,0.08965621,0.02069759,exp,0.2,0.2845982142857143,0.4358974358974359
212,1.0,0.08965621,0.02414552,exp,0.2,0.2859303350970017,0.4444444444444444
213,1.0,0.08965621,0.02759345,exp,0.2,0.28934465952592725,0.45454545454545453
214,1.0,0.08965621,0.03104138,exp,0.2,0.2960632316401547,0.45
215,1.0,0.08965621,0.0333333333,exp,0.2,0.2963115303499919,0.4482758620689655
216,1.0,0.08965621,0.03448931,exp,0.21212121212121213,0.2964732142857143,0.4482758620689655
217,1.0,0.08965621,0.03486441,exp,0.21428571428571427,0.2964732142857143,0.4482758620689655
218,1.0,0.08965621,0.03793724,exp,0.21739130434782608,0.30119588353646676,0.45454545454545453
219,1.0,0.08965621,0.04138517,exp,0.22580645161290322,0.30119588353646676,0.4782608695652174
220,1.0,0.08965621,0.05179661,exp,0.25,0.32066328679650474,0.4838709677419355
221,1.0,0.08965621,0.0666666667,exp,0.28801843317972353,0.3466666666666667,0.5087719298245614
222,1.0,0.08965621,0.06872881,exp,0.3,0.3519849396635111,0.5
223,1.0,0.08965621,0.07586448,exp,0.3333333333333333,0.3602265142023982,0.5333333333333333
224,1.0,0.08965621,0.07931241,exp,0.3333333333333333,0.3681357704795204,0.5454545454545454
225,1.0,0.08965621,0.08276034,exp,0.36,0.377189949854785,0.5384615384615384
226,1.0,0.08965621,0.08566102,exp,0.375,0.39029900948964524,0.5555555555555556
227,1.0,0.08965621,0.08620828,exp,0.38461538461538464,0.39391222053559716,0.56
228,1.0,0.09310414,0.0001,exp,0.16129032258064516,0.25720989658489657,0.36585365853658536
229,1.0,0.09310414,0.001,exp,0.16666666666666666,0.2650297619047619,0.38181818181818183
230,1.0,0.09310414,0.01035379,exp,0.17647058823529413,0.2716647770219199,0.4117647058823529
231,1.0,0.09310414,0.01380172,exp,0.18518518518518517,0.2765738414635473,0.4074074074074074
232,1.0,0.09310414,0.01724966,exp,0.2,0.27777777777777773,0.42105263157894735
233,1.0,0.09310414,0.0179322,exp,0.2,0.27777777777777773,0.42857142857142855
234,1.0,0.09310414,0.02069759,exp,0.2,0.2845982142857143,0.4358974358974359
235,1.0,0.09310414,0.02414552,exp,0.2,0.2852331349206349,0.4444444444444444
236,1.0,0.09310414,0.02759345,exp,0.2,0.2869315675673807,0.4482758620689655
237,1.0,0.09310414,0.03104138,exp,0.2,0.2891753112207658,0.45454545454545453
238,1.0,0.09310414,0.0333333333,exp,0.2,0.2956032572170813,0.4482758620689655
239,1.0,0.09310414,0.03448931,exp,0.2,0.2960632316401547,0.4482758620689655
240,1.0,0.09310414,0.03486441,exp,0.2,0.2964183679568295,0.4482758620689655
241,1.0,0.09310414,0.03793724,exp,0.21739130434782608,0.3014086422010529,0.45454545454545453
242,1.0,0.09310414,0.04138517,exp,0.21739130434782608,0.3034441484441484,0.45454545454545453
243,1.0,0.09310414,0.05179661,exp,0.25,0.31461640211640207,0.49019607843137253
244,1.0,0.09310414,0.0666666667,exp,0.2727272727272727,0.3462925170068027,0.5
245,1.0,0.09310414,0.06872881,exp,0.2857142857142857,0.3466666666666667,0.5102040816326531
246,1.0,0.09310414,0.07586448,exp,0.3333333333333333,0.35881417862652876,0.52
247,1.0,0.09310414,0.07931241,exp,0.3333333333333333,0.3650651876264621,0.5357142857142857
248,1.0,0.09310414,0.08276034,exp,0.3333333333333333,0.364039181694891,0.5454545454545454
249,1.0,0.09310414,0.08566102,exp,0.36,0.3757070111741392,0.5454545454545454
250,1.0,0.09310414,0.08620828,exp,0.36,0.3787330724830725,0.5384615384615384
251,1.0,0.09310414,0.08965621,exp,0.38461538461538464,0.3950168754856255,0.5609756097560976
252,1.0,0.09655207,0.0001,exp,0.16129032258064516,0.25720989658489657,0.36585365853658536
253,1.0,0.09655207,0.001,exp,0.16666666666666666,0.2650297619047619,0.38181818181818183
254,1.0,0.09655207,0.01035379,exp,0.17647058823529413,0.2716647770219199,0.4090909090909091
255,1.0,0.09655207,0.01380172,exp,0.1835016835016835,0.27719005531505525,0.4090909090909091
256,1.0,0.09655207,0.01724966,exp,0.2,0.27777777777777773,0.4222222222222222
257,1.0,0.09655207,0.0179322,exp,0.2,0.27777777777777773,0.4222222222222222
258,1.0,0.09655207,0.02069759,exp,0.2,0.2845982142857143,0.4358974358974359
259,1.0,0.09655207,0.02414552,exp,0.2,0.283357266532007,0.44
260,1.0,0.09655207,0.02759345,exp,0.2,0.2859303350970017,0.4444444444444444
261,1.0,0.09655207,0.03104138,exp,0.2,0.2890797586252132,0.45
262,1.0,0.09655207,0.0333333333,exp,0.2,0.2956032572170813,0.45
263,1.0,0.09655207,0.03448931,exp,0.2,0.2956032572170813,0.45
264,1.0,0.09655207,0.03486441,exp,0.2,0.2956032572170813,0.4482758620689655
265,1.0,0.09655207,0.03793724,exp,0.2132034632034632,0.2980928330928331,0.4482758620689655
266,1.0,0.09655207,0.04138517,exp,0.21739130434782608,0.3014086422010529,0.45454545454545453
267,1.0,0.09655207,0.05179661,exp,0.2413793103448276,0.30928156664763806,0.4857142857142857
268,1.0,0.09655207,0.0666666667,exp,0.2727272727272727,0.3369118199178752,0.5
269,1.0,0.09655207,0.06872881,exp,0.2727272727272727,0.3462925170068027,0.5
270,1.0,0.09655207,0.07586448,exp,0.3076923076923077,0.3518527833942532,0.5094339622641509
271,1.0,0.09655207,0.07931241,exp,0.3333333333333333,0.36031324440169593,0.52
272,1.0,0.09655207,0.08276034,exp,0.3333333333333333,0.3650651876264621,0.5384615384615384
273,1.0,0.09655207,0.08566102,exp,0.3333333333333333,0.3681357704795204,0.5454545454545454
274,1.0,0.09655207,0.08620828,exp,0.3333333333333333,0.36794728873827054,0.5428571428571428
275,1.0,0.09655207,0.08965621,exp,0.36,0.37659378320092596,0.5384615384615384
276,1.0,0.09655207,0.09310414,exp,0.38461538461538464,0.3945413409191818,0.56
277,1.0,0.1,0.0001,exp,0.16129032258064516,0.25720989658489657,0.3684210526315789
278,1.0,0.1,0.001,exp,0.16666666666666666,0.2650297619047619,0.38181818181818183
279,1.0,0.1,0.01035379,exp,0.17647058823529413,0.2716647770219199,0.4117647058823529
280,1.0,0.1,0.01380172,exp,0.18181818181818182,0.27512683084111655,0.4074074074074074
281,1.0,0.1,0.01724966,exp,0.2,0.27719005531505525,0.4222222222222222
282,1.0,0.1,0.0179322,exp,0.2,0.27719005531505525,0.4222222222222222
283,1.0,0.1,0.02069759,exp,0.2,0.28275588378776706,0.42857142857142855
284,1.0,0.1,0.02414552,exp,0.2,0.2845982142857143,0.4358974358974359
285,1.0,0.1,0.02759345,exp,0.2,0.2860706831295067,0.44
286,1.0,0.1,0.03104138,exp,0.2,0.28990661105745774,0.45454545454545453
287,1.0,0.1,0.0333333333,exp,0.2,0.28990661105745774,0.45454545454545453
288,1.0,0.1,0.03448931,exp,0.2,0.2956032572170813,0.45
289,1.0,0.1,0.03486441,exp,0.2,0.2956032572170813,0.45454545454545453
290,1.0,0.1,0.03793724,exp,0.2,0.2964183679568295,0.4482758620689655
291,1.0,0.1,0.04138517,exp,0.21739130434782608,0.30202675961604525,0.45454545454545453
292,1.0,0.1,0.05179661,exp,0.23809523809523808,0.3052856663027202,0.49019607843137253
293,1.0,0.1,0.0666666667,exp,0.25925925925925924,0.3344741498253495,0.5
294,1.0,0.1,0.06872881,exp,0.2727272727272727,0.33526917526917527,0.5
295,1.0,0.1,0.07586448,exp,0.2903225806451613,0.3466666666666667,0.5135135135135135
296,1.0,0.1,0.07931241,exp,0.3076923076923077,0.3518527833942532,0.5094339622641509
297,1.0,0.1,0.08276034,exp,0.3333333333333333,0.3608016921912801,0.5238095238095238
298,1.0,0.1,0.08566102,exp,0.3333333333333333,0.36519415588043036,0.5357142857142857
299,1.0,0.1,0.08620828,exp,0.3333333333333333,0.3668128870137798,0.5384615384615384
300,1.0,0.1,0.08965621,exp,0.3333333333333333,0.3662171849320422,0.5454545454545454
301,1.0,0.1,0.09310414,exp,0.36,0.37659378320092596,0.543859649122807
302,1.0,0.1,0.09655207,exp,0.38461538461538464,0.3950168754856255,0.5555555555555556
303,1.0,0.10349153,0.0001,exp,0.16129032258064516,0.25720989658489657,0.3684210526315789
304,1.0,0.10349153,0.001,exp,0.16666666666666666,0.26161241749005704,0.38181818181818183
305,1.0,0.10349153,0.01035379,exp,0.17647058823529413,0.27343033010925166,0.4117647058823529
306,1.0,0.10349153,0.01380172,exp,0.17914438502673796,0.27397691594120166,0.4117647058823529
307,1.0,0.10349153,0.01724966,exp,0.18518518518518517,0.2765738414635473,0.4166666666666667
308,1.0,0.10349153,0.0179322,exp,0.1875,0.27719005531505525,0.42857142857142855
309,1.0,0.10349153,0.02069759,exp,0.2,0.27777777777777773,0.42857142857142855
310,1.0,0.10349153,0.02414552,exp,0.2,0.283357266532007,0.4358974358974359
