,L,mu,jaccard_sim,rbo,kendall_tau
11454,245.0,0.04098192771084338,0.40403233436926556,0.41169039061565077,0.4106840206698377
11455,245.0,0.04118232931726908,0.4044109310376149,0.41186743032216794,0.40999019352839106
11456,245.0,0.04138273092369479,0.404598317267404,0.4117605688227896,0.4097011808286692
11457,245.0,0.041583132530120484,0.4045901700400218,0.41161274720126806,0.41000188916437424
11458,245.0,0.04178353413654619,0.4045901700400218,0.41163728587421666,0.40959433725227984
11459,245.0,0.04198393574297189,0.404565568608319,0.4113259685384274,0.4089408055722638
11460,245.0,0.042184337349397596,0.4044584907627252,0.41133399729081216,0.4089460446814293
11461,245.0,0.0423847389558233,0.4042886488260988,0.41130084292288677,0.40874597144789565
11462,245.0,0.042585140562249,0.4042886488260988,0.41130310803115894,0.40868010009859657
11463,245.0,0.0427855421686747,0.40447757323763806,0.41131098066388827,0.4089820392005526
11464,245.0,0.042985943775100406,0.4049075842683558,0.411378034160712,0.4088116580590226
11465,245.0,0.04318634538152611,0.4049075842683558,0.4114365098650998,0.40859838005506716
11466,245.0,0.043386746987951814,0.40517167204964644,0.4112900085454823,0.40732171338419365
11467,245.0,0.04358714859437751,0.40532699375973846,0.41127313940096644,0.40716186075488425
11468,245.0,0.043787550200803216,0.40550367220496814,0.41127864152326804,0.4073037151319971
11469,245.0,0.04398795180722892,0.40550367220496814,0.41133588679334115,0.40723867646126016
11470,245.0,0.044188353413654624,0.40550367220496814,0.4114369429605623,0.40748117490699665
11471,245.0,0.04438875502008033,0.40534777945917727,0.41145094660925996,0.4075340644101699
11472,245.0,0.04458915662650603,0.4050251492548448,0.41107414891803723,0.40547044097297397
11473,245.0,0.04478955823293173,0.40384729295331356,0.4102293291724014,0.4078262850490627
11474,245.0,0.044989959839357434,0.4042898303923175,0.41058929795312654,0.40789972710199446
11475,245.0,0.04519036144578314,0.40435420715373716,0.4106546474937101,0.4075618174300398
