,L,mu,theta,forget_func,jaccard_sim,rbo,kendall_tau
182,1.0,0.08657627,0.0001,exp,0.18293947733825353,0.258659739780024,0.17223102274958596
183,1.0,0.08657627,0.001,exp,0.18709360176588946,0.26203151989898565,0.17617562055579222
184,1.0,0.08657627,0.01035379,exp,0.20164391584604677,0.27672102467929516,0.19646784003701684
185,1.0,0.08657627,0.01380172,exp,0.2063475552794017,0.27924156938868244,0.20240211888488158
186,1.0,0.08657627,0.01724966,exp,0.21238331781858713,0.2831573061363978,0.21019167495829966
187,1.0,0.08657627,0.0179322,exp,0.21267353229558378,0.2840946165174806,0.2110758957429131
188,1.0,0.08657627,0.02069759,exp,0.21630920156292455,0.28541411154710705,0.21781829919190468
189,1.0,0.08657627,0.02414552,exp,0.21876865823590486,0.2893007571375698,0.22547710961525075
190,1.0,0.08657627,0.02759345,exp,0.22453752723122616,0.29278423618201393,0.23249288945845448
191,1.0,0.08657627,0.03104138,exp,0.228858905475597,0.29405986201005785,0.23075836621681636
192,1.0,0.08657627,0.0333333333,exp,0.231748072525904,0.295300779657817,0.2320682101477483
193,1.0,0.08657627,0.03448931,exp,0.2334262835334093,0.297152723528551,0.2335093124743782
194,1.0,0.08657627,0.03486441,exp,0.23385538544048382,0.29756150683539984,0.23492750435735607
195,1.0,0.08657627,0.03793724,exp,0.23656581651694789,0.30038235404379576,0.23787647046367705
196,1.0,0.08657627,0.04138517,exp,0.24271080940266052,0.3048198369709808,0.24677460701391285
197,1.0,0.08657627,0.05179661,exp,0.2607326114091067,0.3191187633990032,0.2663913276925798
198,1.0,0.08657627,0.0666666667,exp,0.3003338016566995,0.34618734055547934,0.3061873272365783
199,1.0,0.08657627,0.06872881,exp,0.3079024019294412,0.3507778691158093,0.3140388963547088
200,1.0,0.08657627,0.07586448,exp,0.32997706908439844,0.3602782162929268,0.32446101214986095
201,1.0,0.08657627,0.07931241,exp,0.3473755428454093,0.36809409850993774,0.3282507997628602
202,1.0,0.08657627,0.08276034,exp,0.37418040009212417,0.3838108306618311,0.35471809364242834
203,1.0,0.08657627,0.08566102,exp,0.40787760267955675,0.41025176102874117,0.4030349383103233
204,1.0,0.08657627,0.08620828,exp,0.4129666733108328,0.41362593739669967,0.4117190952727741
205,1.0,0.08965621,0.0001,exp,0.18274532520063852,0.2586340774357169,0.17138740381279535
206,1.0,0.08965621,0.001,exp,0.18696961689204408,0.2618377498584281,0.17604632696613567
207,1.0,0.08965621,0.01035379,exp,0.20075876060253545,0.27550848879326867,0.19677896261474395
208,1.0,0.08965621,0.01380172,exp,0.2055380786467747,0.27897415331581965,0.2019617832932532
209,1.0,0.08965621,0.01724966,exp,0.21163683680967296,0.2816652688301139,0.20729124570484525
210,1.0,0.08965621,0.0179322,exp,0.21238331781858713,0.28230869471890774,0.20785539995987679
211,1.0,0.08965621,0.02069759,exp,0.21561703096063672,0.28532813918766414,0.2137591678848514
212,1.0,0.08965621,0.02414552,exp,0.21801073123149622,0.2878787825839955,0.22457783958435915
213,1.0,0.08965621,0.02759345,exp,0.2229622298817092,0.29165764438081565,0.2298407945666161
214,1.0,0.08965621,0.03104138,exp,0.22705643667910003,0.29287514268713616,0.22777194899893835
215,1.0,0.08965621,0.0333333333,exp,0.22976305148347037,0.29412894183360117,0.22952516155916602
216,1.0,0.08965621,0.03448931,exp,0.23143146260215794,0.29501417883062236,0.2306334014442888
217,1.0,0.08965621,0.03486441,exp,0.2322007067899297,0.2953638518786226,0.2306785585026642
218,1.0,0.08965621,0.03793724,exp,0.23544579024748408,0.2992160213686869,0.23782659814728266
219,1.0,0.08965621,0.04138517,exp,0.23910258624045347,0.30177408330229705,0.2411692031649528
220,1.0,0.08965621,0.05179661,exp,0.25594000193379857,0.31446508988757577,0.2578251045069289
