,L,mu,theta,forget_func,jaccard_sim
351,29.0,0.6,0.5,pow,0.29952903744838366
352,29.0,0.8,0.05,exp,0.27789057706811343
353,29.0,0.8,0.05,pow,0.273729329378612
354,29.0,0.8,0.1,exp,0.27985831228673813
355,29.0,0.8,0.1,pow,0.2747502176287255
356,29.0,0.8,0.3,exp,0.2878218610201678
357,29.0,0.8,0.3,pow,0.28589695906433804
358,29.0,0.8,0.5,exp,0.2954320453642392
359,29.0,0.8,0.5,pow,0.2941727706769073
360,31.0,0.4,0.05,exp,0.30418193830959667
361,31.0,0.4,0.05,pow,0.28952172015257854
362,31.0,0.4,0.1,exp,0.3087898028458271
363,31.0,0.4,0.1,pow,0.2898090961207334
364,31.0,0.4,0.3,exp,0.3268475176323006
365,31.0,0.4,0.3,pow,0.2903899595140085
366,31.0,0.4,0.5,exp,0.008372777278980833
367,31.0,0.4,0.5,pow,0.050201629444918294
368,31.0,0.6,0.05,exp,0.28883726572405827
369,31.0,0.6,0.05,pow,0.28250311667457767
370,31.0,0.6,0.1,exp,0.29270721138416045
371,31.0,0.6,0.1,pow,0.2903698009157367
372,31.0,0.6,0.3,exp,0.3030892404754358
373,31.0,0.6,0.3,pow,0.29479361966716444
374,31.0,0.6,0.5,exp,0.3146214463311738
375,31.0,0.6,0.5,pow,0.29952903744838366
376,31.0,0.8,0.05,exp,0.2792070842305288
377,31.0,0.8,0.05,pow,0.27400937484164467
378,31.0,0.8,0.1,exp,0.28168774119296247
379,31.0,0.8,0.1,pow,0.27538393816760115
380,31.0,0.8,0.3,exp,0.28827922690859953
381,31.0,0.8,0.3,pow,0.2866485595322402
382,31.0,0.8,0.5,exp,0.2955131460307262
383,31.0,0.8,0.5,pow,0.2941727706769073
384,33.0,0.4,0.05,exp,0.3049720086124674
385,33.0,0.4,0.05,pow,0.2896191241276717
386,33.0,0.4,0.1,exp,0.3098369550131821
387,33.0,0.4,0.1,pow,0.28999259197896976
388,33.0,0.4,0.3,exp,0.3276271130343237
389,33.0,0.4,0.3,pow,0.29029593213323523
390,33.0,0.4,0.5,exp,0.01036980456069122
391,33.0,0.4,0.5,pow,0.0495087181405314
392,33.0,0.6,0.05,exp,0.2907742930440827
393,33.0,0.6,0.05,pow,0.2828706356180163
394,33.0,0.6,0.1,exp,0.2956418495955466
395,33.0,0.6,0.1,pow,0.2903228002647042
396,33.0,0.6,0.3,exp,0.30369681191522085
397,33.0,0.6,0.3,pow,0.29504885120984103
398,33.0,0.6,0.5,exp,0.31695916608370284
399,33.0,0.6,0.5,pow,0.29952903744838366
400,33.0,0.8,0.05,exp,0.28010373959121165
401,33.0,0.8,0.05,pow,0.2745242866887364
402,33.0,0.8,0.1,exp,0.28369751186471454
403,33.0,0.8,0.1,pow,0.2755343688224936
404,33.0,0.8,0.3,exp,0.28980351272531807
405,33.0,0.8,0.3,pow,0.28690383465266894
406,33.0,0.8,0.5,exp,0.2957854753682414
407,33.0,0.8,0.5,pow,0.2941727706769073
408,35.0,0.4,0.05,exp,0.30559105957998994
409,35.0,0.4,0.05,pow,0.28948875192371537
410,35.0,0.4,0.1,exp,0.3103604855395357
411,35.0,0.4,0.1,pow,0.2899056290892387
412,35.0,0.4,0.3,exp,0.32771286866595695
413,35.0,0.4,0.3,pow,0.2901835877302334
414,35.0,0.4,0.5,exp,0.01188329897562536
415,35.0,0.4,0.5,pow,0.04784761341544864
416,35.0,0.6,0.05,exp,0.29191864764481423
417,35.0,0.6,0.05,pow,0.2834184027964063
418,35.0,0.6,0.1,exp,0.29654612888957055
419,35.0,0.6,0.1,pow,0.2906254456910896
420,35.0,0.6,0.3,exp,0.30401977804656305
421,35.0,0.6,0.3,pow,0.2951044653213258
422,35.0,0.6,0.5,exp,0.31729483628929944
423,35.0,0.6,0.5,pow,0.29931419912988955
424,35.0,0.8,0.05,exp,0.280992126637575
425,35.0,0.8,0.05,pow,0.274701733232965
426,35.0,0.8,0.1,exp,0.2842490787968293
427,35.0,0.8,0.1,pow,0.27602519921729934
428,35.0,0.8,0.3,exp,0.29012859551732534
429,35.0,0.8,0.3,pow,0.2872254408585087
430,35.0,0.8,0.5,exp,0.2967253697533902
431,35.0,0.8,0.5,pow,0.29428946917146753
432,37.0,0.4,0.05,exp,0.3064231055738742
433,37.0,0.4,0.05,pow,0.2898389184701695
434,37.0,0.4,0.1,exp,0.31091888935704143
435,37.0,0.4,0.1,pow,0.29034067992189766
436,37.0,0.4,0.3,exp,0.3281856590327482
437,37.0,0.4,0.3,pow,0.2901835877302334
